SIG_MEDIAN,SIG_STDD,SIG_IQR,SIG_SCM,SIG_TCM,SIG_KURT,SIG_SKEW,PSD_MAX,PSD_STDD,PSD_IQR,PSD_KURT,PSD_SKEW,LABEL
-0.483333162,2.821668039,4.032540371,7.948429328,12.49453284,-0.405588322,0.557568265,171.8679079,24.04306685,0.793740872,35.6246937,0.780422005,jump
-0.007292971,2.159013293,2.597208963,4.653504216,0.255482035,-0.245606674,0.025450141,39.15148306,9.346930468,1.490818448,47.78394357,-3.932841329,jump
0.17053759,1.478063386,1.284816081,2.180999656,-10.0098226,32.78634307,-3.10772789,17.56755204,2.674179681,1.523141592,14.30755841,2.078363151,jump
-0.048059136,1.339353917,0.824986089,1.790854008,-32.78639774,282.7172934,-13.68054592,6.022750263,1.352587904,0.991671576,6.6317022,1.915916608,jump
0.023487806,1.066436573,1.682267254,1.135375558,0.090748075,-0.562412773,0.075011545,20.73793291,2.820337854,0.246631746,31.78307348,1.748601568,jump
-0.221490874,0.884335746,1.167691674,0.780735343,0.232261069,-0.311772839,0.336682591,12.75021294,3.321750135,0.124765033,48.13468913,-4.37286057,jump
0.644216037,3.646573495,4.117053033,13.27511189,20.47084712,1.014223632,0.423232032,56.16907313,16.54286111,2.537902522,25.25036549,-2.59515189,jump
-0.137210114,1.690625369,1.665992481,2.853402329,-0.765072149,0.829242624,-0.158729583,32.85737574,5.563036294,0.635674591,45.16974407,-2.584449339,jump
0.015983118,1.409223306,0.368646531,1.982567042,-61.6042727,518.4262292,-22.06830671,5.795899762,1.06934676,0.246949375,19.56033414,4.222301053,jump
0.290904446,1.30875777,1.186214815,1.70996332,-2.725325487,3.67114383,-1.21881611,11.71257364,2.3676337,0.208354723,16.53171052,1.327371851,jump
-0.005624655,0.553767458,0.59291189,0.306142138,-0.041426775,0.850471807,-0.244566214,2.459148895,0.498225449,0.014248721,14.63929324,0.461616276,jump
0.018056118,0.535191936,0.669677486,0.285948202,-0.040906188,-0.186659485,-0.267521049,10.20171499,1.637515986,0.02449302,44.7479547,-1.742125572,jump
-1.02068045,2.118053089,1.918586368,4.478646969,-1.538553645,0.730412401,-0.162327611,32.01621922,7.318924703,0.819792996,38.91793647,-3.013718901,jump
-0.734291798,1.401291125,1.644101759,1.960333176,3.805462784,9.404596251,1.386476919,60.01989924,10.11142499,0.278481091,22.53126389,1.218196859,jump
-0.10621821,0.700368753,0.76109853,0.489696128,0.154080409,2.885688171,0.449632211,2.966650045,0.737670142,0.38979463,15.1165618,-1.00960002,jump
0.748119,0.559060114,0.762506246,0.312025555,0.013118721,0.692531542,0.075267285,6.138186753,1.006475453,0.086433753,28.16777082,0.096752941,jump
0.68508282,0.432839959,0.474096044,0.187037135,0.044300987,36.87095766,0.547673392,1.667046407,0.357202922,0.062900833,14.16958089,-0.00340671,jump
1.439711493,0.420547096,0.415892765,0.176564108,-0.018195382,2.632962495,-0.245249165,2.84745449,0.496454393,0.030729655,34.97812007,-1.480226122,jump
0.518582214,2.752826095,3.587613981,7.565463384,-29.74752698,5.893786557,-1.42954413,126.5606818,24.01291953,0.396714867,37.00664381,-2.150226121,jump
-2.142466877,1.998963303,1.404957226,3.989216655,9.678522814,8.820945674,1.214724086,13.54216453,3.057700341,0.044498244,60.92553155,-5.260306436,jump
-0.287375025,1.943094639,0.364142992,3.769344986,130.2522055,337.8618549,17.79861685,0.840355104,0.14320854,0.021411782,14.23923117,2.43306169,jump
-0.100074167,1.363209293,0.231376233,1.855252634,51.59855792,486.8392125,20.41892993,7.258167316,1.348813746,0.343012201,20.89447208,4.389132795,jump
0.151383591,1.103791096,1.238125401,1.216330939,0.91973534,4.249756483,0.685622788,6.914525032,1.234430881,0.2174925,12.90962436,1.967654408,jump
0.168046456,0.964160424,0.594825238,0.928061128,-1.523335513,16.9092733,-1.703847387,1.53939088,0.270929579,0.052770131,11.64377939,1.246166282,jump
0.489918469,3.069434926,3.922303433,9.403983673,18.67300565,1.14959065,0.647509924,92.84803099,15.77794964,1.314952003,29.37594801,-0.391217675,jump
-0.578524373,2.004298427,2.416217062,4.009772902,-1.004585639,-0.051613249,-0.125114401,69.82612261,11.90270529,0.691382892,34.39126812,-0.867689421,jump
-0.008290298,1.375298571,0.278449862,1.887943481,51.88727953,451.2639889,20.002184,7.05845804,1.184672546,0.110662757,23.05461892,4.656269798,jump
-0.098285535,0.957002332,1.179055005,0.914157439,-0.110554919,0.458176465,-0.126487198,6.042519469,1.331331049,0.097711282,33.99877184,-2.473276942,jump
0.098029136,0.763922257,0.912706332,0.582496516,-0.179700439,1.533262593,-0.404211942,3.806834489,0.664964293,0.100052506,14.38783777,1.343714473,jump
-0.167921294,0.685100985,0.583077071,0.468494169,-0.043280102,1.922390804,-0.134968367,4.91418772,0.831031307,0.025886191,14.38896034,1.389253983,jump
-0.969182088,3.422135403,5.194805749,11.69092322,24.7782904,-0.186804507,0.619866443,192.7510571,26.39713755,1.420847537,33.69397163,1.633635673,walk
0.272833006,1.954942931,1.690873816,3.815246457,5.603403627,0.897376765,0.751913722,50.95650817,9.45595292,0.412737416,46.29828293,-3.092419951,walk
0.028139033,1.350735929,0.146870846,1.82135807,-49.77261031,479.6771617,-20.2487126,6.982258343,1.224472446,0.028833577,24.98985454,5.014896139,walk
-0.020172561,1.253581008,1.38397414,1.568769864,-0.37192368,0.577252735,-0.189284466,6.654489201,1.911087462,0.324747873,9.666507115,-1.600006824,walk
-0.052516854,0.865557235,0.99328635,0.747904269,-0.241796518,1.422528378,-0.373835917,3.577992348,1.036651304,0.171823838,13.68041348,-2.149294442,walk
-0.037171913,0.643468625,0.600632963,0.413341662,0.009997178,3.679873134,0.037619556,2.404075769,0.610426906,0.032976289,15.08004802,-0.965622322,walk
-1.161565041,2.410954297,3.098583232,5.79690524,-3.172200403,2.361826238,-0.227282666,70.46296455,17.31582302,0.809714905,59.66177442,-5.143906858,walk
-0.428990239,1.806760789,1.943830166,3.255513939,3.79556581,1.865860011,0.646170589,97.68897333,16.36934868,1.120798082,26.63688738,0.42047551,walk
0.310644035,1.476385417,1.623608473,2.173790765,0.113761454,3.309791727,0.03549511,21.9317496,6.45553439,0.610170212,23.09942548,-2.568720372,walk
0.337901977,1.399250612,0.664777068,1.952581888,-42.2046775,273.4585933,-15.46844656,1.985509602,0.476120775,0.138770781,10.50960038,-0.23101102,walk
-1.395784629,1.090211148,1.310936809,1.185330563,-0.002230949,1.436711071,-0.001728743,28.231505,4.309613143,0.194308779,27.88209464,1.253315741,walk
0.557377616,1.063844132,1.289340251,1.128688892,0.708148769,2.66749061,0.590558777,8.717198667,2.020880153,0.759269233,7.493915761,0.513379786,walk
-0.236280418,3.588429635,5.326342264,12.85557835,-2.679926533,-0.451563625,-0.058141397,326.1268279,57.01919566,0.638700476,28.25632119,0.391917255,walk
0.008112998,2.16156037,0.916427808,4.664633098,92.31092439,137.3626379,9.1627717,8.774557017,1.308673631,0.33360788,19.01143054,1.82374827,walk
0.036539892,1.342234537,0.232011713,1.798620626,-48.40654042,484.4974963,-20.06756557,5.12531921,0.941134455,0.068509304,21.25588708,4.336506668,walk
0.120966325,1.107681512,1.148165186,1.224933648,0.612581438,5.314328521,0.451850728,38.58520998,4.929246141,0.137177085,36.38871093,2.494116612,walk
